TERMS AND CONDITIONS
http://www.bankofcanada.ca/terms/

SERIES
id,label,description
IEXM0102_AVG,"USD","U.S. dollar (close)"

OBSERVATIONS
date,IEXM0102_AVG
2016-01-01,1.42255000
2016-02-01,1.37884000
2016-03-01,1.32104091
2016-04-01,1.28176190
2016-05-01,1.29425238
2016-06-01,1.28870000
2016-07-01,1.30457500
2016-08-01,1.29932273
2016-09-01,1.31023333
2016-10-01,1.32530500
2016-11-01,1.34399048
2016-12-01,1.33356500

